title,category,description
Latin American Science Fiction,Science Fiction,Combining work by critics from Latin America the USA and Europe Latin American Science Fiction: Theory and Practice is the first anthology of articles in English to examine science fiction in all of Latin America from Mexico and the Caribbean to Brazil and the Southern Cone. Using a variety of sophisticated theoretical approaches the book explores not merely the development of a science fiction tradition in the region but more importantly the intricate ways in which this tradition has engaged with the most important cultural and literary debates of recent year.
Suicide and Contemporary Science Fiction,Science Fiction,Suicide and Contemporary Science Fiction examines the fascination with suicidal crises evident in a range of science fiction. Specifically this study explores a seemingly counterintuitive proposition: in moments of dramatic scientific and technological change the authors of these works frequently cast self-destructive episodes as catalysts for beneficial change. Carlos Gutierrez-Jones argues that this creative self-destruction mechanism is invoked by H. G. Wells as a means of negotiating Victorian anxieties regarding evolutionary theory by Stanislaw Lem as he wrestles with the prospect of nuclear self-destruction at the dawn of the space age by William Gibson as he considers the development of artificial intelligence by Christopher Nolan as he explores the cybernetic colonization of the unconscious by Rian Johnson as he links aspects of video gaming to the neoliberal militarization of institutions and by Margaret Atwood as she considers impending ecological disaster and the rise of bioterrorism. These authors often depict such scientific and technological changes in a fashion that requires the central characters to transform themselves in hopes of remaining relevant in a radically altered environment.
Science Fiction Cinema,Science Fiction,This major new study offers a broad historical and theoretical reassessment of the science fiction film genre. The book explores the development of science fiction in cinema from its beginnings in early film through to recent examples of the genre. Each chapter sets analyses of chosen films within a wider historical/cultural context while concentrating on a specific thematic issue. The book therefore presents vital and unique perspectives in its approach to the genre which include discussion of the relevance of psychedelic imagery the 'new woman of science' generic performance and the prevalence of 'techno-orientalism' in recent films. While American films will be one of the principle areas covered the author also engages with a range of pertinent examples from other nations as well as discussing the centrality of science fiction as a transnational film genre. Films discussed include The Day the Earth Stood Still The Body Snatchers Forbidden Planet The Quatermass Experiment 2001: A Space Odyssey Demon Seed Star Trek: The Motion Picture Star Wars Altered States Alien Blade Runner The Brother from Another Planet Back to the Future The Terminator Predator The One Dark City The Matrix Fifth Elementand eXistenZ. Key Features*Thematically organised for use as a course text.*Introduces current and past theories and practices and provides an overview of the main themes approaches and areas of study.*Covers new and burgeoning approaches such as generic performance and aspects of postmodern identity.*Includes new interviews with some of the main practitioners in the field: Roland Emmerich Paul Verhoeven Ken Russell Stan Winston William Gibson Brian Aldiss Joe Morton Dean Norris and Billy Gray.
Fantastic Voyage,Science Fiction,Through the process of miniaturization five people enter a tiny submarine and are injected into a man's circulatory system where they try to destroy a blood clot located in his brain
Brave New Words,Science Fiction,The first historical dictionary devoted to science fiction this shows how science-fictional words and their associated concepts have developed over time with full citations and bibliographic information. It also documents the enduring legacy of authors and their fans.
Once and Future Antiquities in Science Fiction and Fantasy,Science Fiction,In 15 all-new essays this volume explores how science fiction and fantasy draw on materials from ancient Greece and Rome 'displacing' them from their original settings-in time and space in points of origins and genre-and encouraging readers to consider similar 'displacements' in the modern world. Modern examples from a wide range of media and genres-including Philip Pullman's His Dark Materials and the novels of Helen Oyeyemi the Rocky Horror Picture Show and Hayao Miyazaki's Spirited Away and the role-playing games Dungeons and Dragons and Warhammer 40K-are brought alongside episodes from ancient myth important moments from history and more. All together these multifaceted studies add to our understanding of how science fiction and fantasy form important areas of classical reception not only transmitting but also transmuting images of antiquity. The volume concludes with an inspiring personal reflection from the New York Times-bestselling author of speculative fiction Catherynne M. Valente offering her perspective on the limitless potential of the classical world to resonate with experience today.
Posthuman Biopolitics,Science Fiction,This volume presents the first collection of essays dedicated to the science fiction of microbiologist Joan Slonczewski. Posthuman Biopolitics consolidates the scholarly literature on Slonczewski’s fiction and demonstrates fruitful lines of engagement for the critical cultural and theoretical treatment of her characters plots and storyworlds. Her novels treat feminism in relation to scientific practice resistance to domination pacifism versus militarism the extension of human rights to nonhuman and posthuman actors biopolitics and posthuman ethics and symbiosis and communication across planetary scales. Posthuman Biopolitics explores the breadth and depth of Joan Slonczewski’s vision uncovering the reflective ethical practice that informs her science fiction.
The Mammoth Book of Extreme Science Fiction,Science Fiction,The Mammoth Book of Extreme Science Fiction is a new collection that features 25 hard sci-fi stories that really push the boundaries from names like Charles Stross Robert Reed Peter Hamilton and Neal Asher. Highlights feature a perpetual war fought within a cosmic string; a machine that detects alternate worlds and creates a choice of Christs; murder in virtual reality; and a spaceship so large that there's an entire planetary system within it.
Cosmic Engineers,Science Fiction,The first comprehensive critical study of hard science fiction this book reveals how the term hard science fiction originated and how arguments about its range and nature have unfolded. Westfahl shows that hard science fiction is generally characterized by the author's extreme concern for scientific accuracy and logic. Identifying two characteristic forms of hard science fiction Westfahl closely examines several representative works: Arthur C. Clarke's A Fall of Moondust Hal Clement's Mission of Gravity and Charles Sheffield's Between the Strokes of Midnight. This book offers new insights into hard science fiction and provides a wealth of information about what members of the science fiction community have said about this relatively recent genre.
Citizen Science Fiction,Science Fiction,Citizen Science Fiction argues that science-fiction literature and media can engage and empower individuals to become active and critical participants in citizen science such that they can collaborate meaningfully in the scientific and technological communities institutions and industries that deeply shape their everyday lives.
The Dark Descent,Science Fiction,Our story. What happens next? You decide. Don't just read it. Help create it!Scout wakes up after an explosion in the White House and can't remember much more than his name. Some think he's the president. Others think he's a traitor. On the run and fighting for his life at every turn he'll have to survive the dangerous unknown to get the answers he needs. The Dark Descent is the first novel in the riveting Into the Dark series. If you like the idea of guiding the direction of a post-apocalyptic thriller then you'll love this collaborative experiment in storytelling.
Childhood Science Fiction and Pedagogy,Science Fiction,This book invites readers to both reassess and reconceptualize definitions of childhood and pedagogy by imagining the possibilities - past present and future - provided by the aesthetic turn to science fiction. It explores constructions of children childhood and pedagogy through the multiple lenses of science fiction as a method of inquiry and discusses what counts as science fiction and why science fiction counts. The book examines the notion of relationships in a variety of genres and stories; probes affect in the convergence of childhood and science fiction; and focuses on questions of pedagogy and the ways that science fiction can reflect the status quo of schooling theory practice and policy as well as offer alternative educative possibilities. Additionally the volume explores connections between children and childhood studies pedagogy and posthumanism. The various contributors use science fiction as the frame of reference through which conceptual links between inquiry and narrative grounded in theories of media studies can be developed.
The Time Machine Hypothesis,Science Fiction,Every age has characteristic inventions that change the world. In the 19th century it was the steam engine and the train. For the 20th electric and gasoline power aircraft nuclear weapons even ventures into space. Today the planet is awash with electronic business chatter and virtual-reality entertainment so brilliant that the division between real and simulated is hard to discern. But one new idea from the 19th century has failed so far to enter reality—time travel using machines to turn the time dimension into a two-way highway. Will it come true as foreseen in science fiction? Might we expect visits to and from the future sooner than from space? That is the Time Machine Hypothesis examined here by futurist Damien Broderick an award-winning writer and theorist of the genre of the future. Broderick homes in on the topic through the lens of science as well as fiction exploring some fifty different time-travel scenarios and conundrums found in the science fiction literature and film.
Close Enough,Science Fiction,Readers of science fiction dystopia comedy books will (hopefully) enjoy the dry sarcastic humour of this series. Despite the dystopian setting these books are up-beat. Terry Pratchett meets Dr Who ... sort of. As recently appointed delivery man for Big Merv one of Ning Dang Po's most powerful crime bosses The Pan of Hamgee is ordered to deliver a gift to Big Merv's current girlfriend. With a pair of bespoke-made sapphire and diamond earrings on board and a trip across the city in the offing what could possibly go wrong? Everything. This book is written and spelled in Britsh English suggested cinema rating PG. Contains moderate violence (a comedy punch up) and a dash of light swearing. Suitable for any reader of any age from 10 up - younger readers who have read all the Harry Potter books without any worries will be fine with the Hamgeean Misfit stories. Close Enough is the third book in the Hamgeen Misfit dystopian humorous science fiction series. It is set in a contemporary dystopia in a parallel reality but there is some futuristic technology. There is an overall story arc but these funny comedy stories are written to be stand alone and can be read in any order. **** INTERVIEW WITH THE AUTHOR Q – What made you write this series? A – If you want the honest answer I wrote it for me. As a reader I love British satire and humor (or humour). I love wit; funny epic fantasy series like the Discworld novels and comedic sci fi like Douglas Adams. I like sff and speculative fiction I like adventure and action and a gripping tale that zips along quickly I like genre mash ups and I love an angsty dystopian world but the best science fiction and fantasy stories for me are funny. I am to write comedy in the tradition of all the great humorous British authors. I like to aim high. I wanted protagonists people could love and empathise with mavericks misfit characters real people ... except they're not all people obviously some of them are other alien (ish) species. This book is about misfit heroes and heroines winning the day it’s about good versus evil even when the good guys are on different sides. It's dystopian science fiction fantasy action - it's dystopia but it's comedy it's sci-fi but it's planet-based. You'll find all sorts of quirky characters and interesting alien species: from 6ft Swamp Things with antennae to cute furry creatures like the Blurpons with their fluffy ears big button eyes and penchant for extreme violence. Oh and there's this debrief scene ... *** SIMILAR AUTHORS: Robert Rankin C Gockel Patty Jansen JJ Greene FJ Savage Heide Goodey EM Foner Robert Asprin the Stainless Steel Rat and Space Team series. KEYWORDS: Dystopian dystopia parallel universe young adult literature best science fiction light novel sci fi coming of age dry sarcastic humour gallows humor adventure stories humorous books epic reading British humour ya fantasy
Cosmic Laughter; Science Fiction for the Fun of it,Science Fiction,Improbable people and zany machines are introduced in this collection of nine lighthearted tales
Governor,Science Fiction,For more than fifty years the Terran Republic and the Terran League have been killing one another. The death toll has climbed ever higher year after year with no end in sight. But the members of the Five Hundred the social elite of the Republic’s Heart Worlds don’t care. Rear Admiral Terrence Murphy is a Heart Worlder. His family is part of the Five Hundred. His wife is the daughter of one of the Five Hundred’s wealthiest most powerful industrialists. His sons and his daughter can easily avoid military service and political power is his for the taking. There is no end to how high he can rise in the Republic’s power structure. All he has to do is successfully complete a risk-free military “governorship” in the backwater Fringe System of New Dublin without rocking the boat. But the people sending him to New Dublin have miscalculated because Terrence Murphy is a man who believes in honor. Who believes in duty—in common decency and responsibility. Who believes there are dark and dangerous secrets behind the façade of what “everyone knows.” Terrence Murphy intends to meet those responsibilities to unearth those secrets and he doesn’t much care what the Five Hundred want. He intends to put a stop to the killing. Terrence Murphy is coming for whoever has orchestrated fifty-six years of bloodshed and slaughter and Hell itself is coming with him. At the publisher's request this title is sold without DRM (Digital Rights Management). About The Gordian Protocol: “Tom Clancy-esque exposition of technical details . . . absurd humor and bloody action. Echoes of Robert Heinlein . . . lots of exploding temporal spaceships and bodies . . . action-packed . . .” —Booklist “[A] fun and thrilling standalone from Weber and Holo. . . . Time travel enthusiasts will enjoy the moral dilemmas nonstop action and crisp writing.”—Publishers Weekly
The Faces of Science Fiction,Science Fiction,Photographs of 80 major science fiction and fantasy writers are given as well as comments on their work.
The Stars My Destination,Science Fiction,"﻿#5 in the Millennium SF Masterworks series a library of the finest science fiction ever written. “Science fiction has only produced a few works of actual genius and this is one of them.” —Joe Haldeman #5 in the Millennium SF Masterworks series a library of the finest science fiction ever written. “Science fiction has only produced a few works of actual genius and this is one of them.” —Joe Haldeman ""Bester at the peak of his powers is quite simply unbeatable” —James Lovegrove Marooned in outer space after an attack on his ship Nomad Gulliver Foyle lives to obsessively pursue the crew of a rescue vessel that had intended to leave him to die. When it comes to pop culture Alfred Bester (1913-1987) is something of an unsung hero. He wrote radio scripts screenplays and comic books (in which capacity he created the original Green Lantern Oath). But Bester is best known for his science-fiction novels and The Stars My Destination may be his finest creation. With its sly potshotting at corporate skullduggery The Stars My Destination seems utterly contemporary and has maintained its status as an underground classic for fifty years. (Bester fans should also note that iBooks has reprinted ReDemolished which won the very first Hugo Award in 1953.)"
Age of Wonders,Science Fiction,"Age of Wonders: Exploring the World of Science Fiction gives an insider's view of the strange and wonderful world of science fiction by one of the most respected editors in the field David G. Hartwell (1941–2016). David G. Hartwell edited science fiction and fantasy for over twenty years. In that time he worked with acclaimed and popular writers such as Robert A. Heinlein Poul Anderson Frank Herbert Roger Zelazny Robert Silverberg Gene Wolfe Nancy Kress L.E. Modesitt Terry Bisson Lisa Goldstein and Philip Jose Farmer and discovered hot new talents like Kathleen Ann Goonan and Patrick O'Leary. Now in Age of Wonder Hartwell describes the field he loved worked in and shaped as editor critic and anthologist. Like those other American art forms jazz comics and rock 'n' roll science fiction is the product of a rich and fascinating subculture. Age of Wonder is a fascinating tour of the origins history and culture of the science fiction world written with insight and genuine affection for this wonder-filled literature and addressed to newcomers and longtime SF readers alike. Age of Wonder remains ""the landmark work"" Roger Zelazny called the first edition. The book contains sections that offer advice on teaching courses in science fiction disquisitions on the controversial subgenre of hard SF and practical explanations of the economics of publishing science fiction and fantasy. Age of Wonder still lives up to Hugo and Nebula Award winner Vonda McIntyre's description: ""An entertaining and provocative book that will inspire discussion and argument for years to come."""
Afrosf,Science Fiction,"""AfroSF"" is the first ever anthology of Science Fiction by African writers only that was open to submissions from across Africa and abroad. It is comprised of original (previously unpublished) works only from stellar established and upcoming African writers: Nnedi Okorafor Sarah Lotz Tendai Huchu Cristy Zinn Ashley Jacobs Nick Wood Tade Thompson S.A. Partridge Chinelo Onwualu Uko Bendi Udo Dave de Burgh Biram Mboob Sally-Ann Murray Mandisi Nkomo Liam Kruger Chiagozie Fred Nwonwu Joan De La Haye Mia Arderne Rafeeat Aliyu Martin Stokes Clifton Gachagua and Efe Okogu.'Proposition 23' by Efe Okogu nominated for the 2013 BSFA Awards.""A ground-breaking anthology. I could not recommend it enough."" - Lavie Tidhar World Fantasy Award winning author of ""Osama.""""""AfroSF"" will serve as an admirable antidote for all those who have to be reminded that Africa is a continent not a country. Both the stories and the authors are as diverse as any reader could wish...Looking over this broad assortment...it's clear that this anthology has lived up to its ambition...highly readable and enjoyable stories that take the raw materials of science fiction and give them a different spin...Although it is coming from a small press it would be lovely if this anthology were to get some of the wider attention it deserves."" - Karen Burnham ""Locus"" December 2012.""Africa is in our future and ""AfroSF"" demonstrates that the same can be said of its authors. These stories have an energy and a vitality that is missing from much western science fiction today and they're as varied as the continent itself. Read them and you'll find your new favourite authors. Recommended."" - Jim Steel ""Interzone""'s Book Reviews editor and widely published short-story writer.""The stories in ""AfroSF"" feature all the things fans of science fiction expect: deep space travel dystopian landscapes alien species totalitarian bureaucracy military adventure neuro-enhanced nightlife artificial intelligence futures both to be feared and longed for. At once familiar and disarmingly original these stories are fascinating for the diversity of voices at play and for the unique perspective each author brings to the genre. This is SF for the Twenty-first Century."" - David Anthony Durham Campbell Award winning author of ""The Acacia Trilogy.""""I'd like the repurpose the title of an old anthropological study to describe this fine new anthology: 'African Genesis.' The stories in this unprecedented full-spectrum collection of tales by African writers must surely represent by virtue of their wit vigor daring and passion the genesis of a bright new day for Afrocentric science fiction. The contributors here are utterly conversant with all SF subgenres and employ a full suite of up-to-date concepts and tools to convey their continent-wide multiplex idiosyncratic sense of wonder. With the publication of this book the global web of science fiction is strengthened and invigorated by the inclusion of some hitherto neglected voices."" - Paul Di Filippo co-author of ""Science Fiction: The 101 Best Novels 1985-2010.""""This is a book of subtle refractions and phantasmic resonances. The accumulated reading effect is one of deep admiration at the exuberance of the twenty-first century human imagination."" - A. Igoni Barrett author of ""Love is Power Or Something Like That.""""""AfroSF"" is an intense and varied anthology of fresh work. Readers and writers who like to explore new viewpoints will enjoy this book."" - Brenda Cooper author of ""The Creative Fire."""
THE LAND IRONCLADS,Science Fiction,"This eBook edition of ""THE LAND IRONCLADS"" has been formatted to the highest digital standards and adjusted for readability on all devices. Herbert George ""H. G."" Wells (1866 – 1946) was an English writer now best known for his work in the science fiction genre. He was also a prolific writer in many other genres including contemporary novels history politics and social commentary even writing textbooks and rules for war games. Wells is one person sometimes called ""The Father of Science Fiction"" as are Jules Verne and Hugo Gernsback. His most notable science fiction works include The War of the Worlds The Time Machine The Invisible Man and The Island of Doctor Moreau."
Ten Billion Tomorrows,Science Fiction,An exciting new book about real-life technology derived from science fiction and its impact on the world.
Best New SF 6,Science Fiction,The editor of this book won the Hugo Award four times for this collection including 1990 and 1991. The book contains stories by authors such as Isaac Asimov Greg Egan Gregory Benford Alexander Jablokov and Pat Cadigan. A summary of the year and a list of recommended reading is included.
Pornography and Sexual Representation,Science Fiction,A three volume reference guide to the available literature concerning pornography and sexual representation in America.
Wizards Aliens and Starships,Science Fiction,Explaining the science behind science fiction and fantasy—from the probable to the impossible From teleportation and space elevators to alien contact and interstellar travel science fiction and fantasy writers have come up with some brilliant and innovative ideas. Yet how plausible are these ideas--for instance could Mr. Weasley's flying car in the Harry Potter books really exist? Which concepts might actually happen and which ones wouldn’t work at all? Wizards Aliens and Starships delves into the most extraordinary details in science fiction and fantasy--such as time warps shape changing rocket launches and illumination by floating candle--and shows readers the physics and math behind the phenomena. With simple mathematical models and in most cases using no more than high school algebra Charles Adler ranges across a plethora of remarkable imaginings from the works of Ursula K. Le Guin to Star Trek and Avatar to explore what might become reality. Adler explains why fantasy in the Harry Potter and Dresden Files novels cannot adhere strictly to scientific laws and when magic might make scientific sense in the muggle world. He examines space travel and wonders why it isn’t cheaper and more common today. Adler also discusses exoplanets and how the search for alien life has shifted from radio communications to space-based telescopes. He concludes by investigating the future survival of humanity and other intelligent races. Throughout he cites an abundance of science fiction and fantasy authors and includes concise descriptions of stories as well as an appendix on Newton's laws of motion. Wizards Aliens and Starships will speak to anyone wanting to know about the correct--and incorrect--science of science fiction and fantasy.
Mindwalker,Science Fiction,DO NOT SURRENDER CONTROL. 'Mindwalker is a cinematic gut punch of action and espionage. Sharp-edged tense and thrilling you'll be holding your breath until the last page' Tasha Suri Eighteen-year-old Sil Sarrah is determined to die a legend. But with only twelve months left before the supercomputer grafted to her brain kills her Sil's time is quickly running out. In the ten years she's been rescuing field agents for the Syntex corporation - by commandeering their minds from afar and leading them to safety - Sil hasn't lost a single life. And she's not about to start now. But when a critical mission goes south Sil is forced to flee the very company she once called home. Desperate to prove she's no traitor Sil infiltrates the Analog Army an activist faction working to bring Syntex down. Her plan: to win back her employer's trust by destroying the group from within. Instead she and the Army's reckless leader Ryder uncover a horrifying truth that threatens to undo all the good she's ever done. With her tech rapidly degrading and her new ally keeping dangerous secrets of his own Sil must find a way to stop Syntex in order to save her friends her reputation - and maybe even herself. 'The thrill ride of a lifetime' Kat Dunn 'Pure adrenaline shot straight into your veins' Jesse Q. Sutanto 'Utterly enthralling' Saara El-Arifi 'This book will leave you breathless' Vaishnavi Patel 'Ridiculously thrilling' Claire Winn 'A vibrant thrill ride from start to finish!' Meg Long
"The War of the Worlds ""Annotated"" Post-Apocalyptic Science Fiction",Science Fiction,"Herbert George Wells better known as H. G. Wells was an English writer best known for such science fiction novels as The Time Machine The War of the Worlds The Invisible Man and The Island of Doctor Moreau. He was a prolific writer of both fiction and non-fiction and produced works in many different genres including contemporary novels history and social commentary. He was also an outspoken socialist. His later works become increasingly political and didactic and only his early science fiction novels are widely read today. Wells along with Hugo Gernsback and Jules Verne is sometimes referred to as ""The Father of Science Fiction""."
The War of the Worlds,Science Fiction,The War of the Worlds (1898) by H. G. Wells is an early science fiction novel which describes an invasion of England by aliens from Mars. It is one of the earliest and best-known depictions of an alien invasion of Earth and has influenced many others as well as spawning several films radio dramas comic book adaptations and a television series based on the story. The 1938 radio broadcast caused public outcry against the episode as many listeners believed that an actual Martian invasion was in progress a notable example of mass hysteria.
A Research Guide to Science Fiction Studies,Science Fiction,Academic attention to science fiction and fantasy began in 1958 when the Modern Language Association scheduled its first seminar on science fiction at its New York meeting. Over the years science fiction emerged as a popular subject that achieved critical attention and acceptance as an academic discipline. A Research Guide to Science Fiction Studies originally published in 1977 is designed to provide the reader - whether they be scholar teacher librarian or fan - with a comprehensive listing of the important research tools that have been published in the United States and England through 1976. The volume contains over 400 selected annotated entries covering both general and specialized sources including general surveys histories genre studies author studies bibliographies and indices which span the entire range of science fiction and fantasy scholarship.
Worlds and selves falling apart - The science fiction of Philip K. Dick,Science Fiction,Swiss Diploma Thesis from the year 2000 in the subject American Studies - Literature grade: 1.5 (A) University of Zurich (English Seminar) language: English abstract: Philip K. Dick's science fiction can be seen as a discussion of the human condition in a world where nothing is what it seems. Human identity has become uncertain as has the nature of reality itself. This Dickian ontology has a striking similarity to postmodernist theories by thinkers such as Jameson Baudrillard and McHale most of whom by the way have a weak spot for science fiction. The discussion of Philip K. Dick's novels and short stories against a backdrop of postmodernist theory leads to conclusions that are not only relevant for the author's particular poetics but for the ontology of our lives in times that science fiction couldn't have imagined. This work focusses on Philip K. Dick's unstable worlds and subjects investigating Dickian space time and meaning as well as the author's subjects and the question of schizophrenia and paranoia. Works discussed include Ubik Time Out of Joint The Man in the High Castle A Maze of Death Eye in the Sky A Scanner Darkly Martian Time-Slip and Impostor.
The Spirit of Science Fiction,Science Fiction,"""Set in Mexico in the 1970s the novel charts the literary and romantic escapades of two Chilean aspiring writers employing a range of genres from epistolary novel to science fiction to satire""--"
The Fifth Gift: A FREE Science Fiction Story,Science Fiction,A FREE SF story about aliens who come to Earth bearing gifts Roger Williams the author of the cult classic The Metamorphosis of Prime Intellect returns with a 5000-word science fiction short story about aliens sharing their advanced technology-- a tech that may or may not represent the ultimate Trojan horse. Long-time fans may recognize this story from a very similar version previously published online. Other than the removal of a few small typos this edition is exactly the same as the 2005 story but now Roger is making it more widely available in a format you can enjoy on your personal devices.
The Invisible Man Illustrated,Science Fiction,The Invisible Man is a science fiction novel by H. G. Wells. Originally serialized in Pearson's Weekly in 1897 it was published as a novel the same year. The Invisible Man of the title is Griffin a scientist who has devoted himself to research into optics and invents a way to change a body's refractive index to that of air so that it neither absorbs nor reflects light and thus becomes invisible. He successfully carries out this procedure on himself but fails in his attempt to reverse it. An enthusiast of random and irresponsible violence Griffin has become an iconic character in horror fiction.
Vacation Stories,Science Fiction,A world-famous neurobiologist Santiago Ramn y Cajal won the Nobel Prize for his scientific research in 1906. The previous year he published these stories: five ingenious tales that take a microscopic look at the nature allure and danger of scientific curiosity. Ramn y Cajal waited almost twenty years to publish these stories because he feared they would compromise his scientific career. Featuring the cutting-edge science of the mid-1880s (microscopy bacteriology and hypnosis) they probe the seductive power that proceeds from scientific knowledge and explore how the pursuit of such knowledge alternately redeems and ensnares humanity. Here revenge is disguised as research and common fraud as moral purification. Critical thought vies with moribund tradition and stifling religion for a hold on the human spirit; rigid divisions of class and wealth dissolve before the indiscriminate assault of microbes. One man's faith in science gives him the tools to outwit superstition and win the true love and happiness for which he has sacrificed. that melds the epiphany of A Christmas Carol with the macabre detail of an Edgar Allan Poe story.Now available for the first time in English Ramn y Cajal's stories reveal a great deal about human nature and the collusion of ambition and greed that prey on the hapless and thoughtless whether in the name of science religion or the state. Laura Otis whose dual background in literature and science echoes that of the author has crafted a sparkling translation that captures the wit and imagination of the original.
The Evolution: The Survive Saga Book 2,Science Fiction,After a catastrophic event transforms humans into monstrous mutated creatures James and his son Robert find themselves thrust into a nightmarish reality. With allies as dangerous as the enemies outside they must confront those behind the evolution of these creatures and beware of betrayal at every turn. As the line between man and monster blurs James and Robert face impossible choices. Their fight for survival becomes more than just a struggle against external threats—it’s a battle to hold onto their humanity in the face of overwhelming change. In a world where even the strongest can fall who will survive and what will they become? Suspenseful fast-paced and filled with memorable characters this novel will take readers on an unforgettable journey through a post-apocalyptic nightmare.
Science Fiction / Horror,Science Fiction,This new volume provides a varied and diverse overview of trends that have shaped sci-fi/horror film in the last decade.
A World of Soma,Science Fiction,For some the pursuit of happiness does not come easily. Almost by definition being human means to be imperfect scratched and scarred. Countless multitudes of men women and children are prevented from that very pursuit because they suffer from depression or various mental disorders. But then four scientists working on the edge of possibility and hope invent a drug that eliminates depression and a new era of peace and bliss for all emerges. Blending science fiction with hard science this contemporary fairy tale for a technological world explores the very morality of such a discovery. The work of the fictional scientists is based on real-world research and they explore the psycho-neurological causes of depression and how new drugs are developed. Can four scientists actually create a sustainable utopia in a lab? Can bliss in a pill truly come without consequences? Is peace for all mankind even a possibility? Sometimes the price of true happinesseven when it comes in a little pillmay be higher than expected.
Award-Winning Science Fiction Stories,Science Fiction,What awaits us in the new century? How far should the Genetic Science go? What about Global Warming? Pollution? How long do we have until a nuclear war? When will we be replaced by Humanoids? What will the life with robots be like? Is Artificial Intelligence a threat? All of them awarded in the National Science Fiction Short Story Writing Contest held by Turkish Informatics Foundation these three short stories aim to present a wider perspective of early 2000s today and the future. Are you brave enough to take a look?
Tales of Space and Time,Science Fiction,Tales of Space and Time is a fantasy and science fiction collection of three short stories and two novellas written by H. G. Wells between 1897 and 1898. It was first published by Doubleday & McClure Co. in 1899.
The Time Machine,Science Fiction,The book's protagonist is an amateur inventor or scientist living in London who is never named; he is identified simply as The Time Traveller. Having demonstrated to friends using a miniature model that time is a fourth dimension and that a suitable apparatus can move back and forth in this fourth dimension he builds a full-scale model capable of carrying himself. He sets off on a journey into the future.
Teaching Science Fiction,Science Fiction,Teaching Science Fiction is the first text in thirty years to explore the pedagogic potential of that most intellectually stimulating and provocative form of popular literature: science fiction. Innovative and academically lively it offers valuable insights into how SF can be taught historically culturally and practically at university level.
Election Day 2084,Science Fiction,Seventeen stories deal with political campaigns the media conventions multiple governments conspiracies political machines and leaders of the future.
Alien Constructions,Science Fiction,“An incisive critical work” that looks at Octavia Butler’s writing the movies of the Matrix and Alien series—and more—through a feminist lens (Femspec). Feminist thinkers and writers are increasingly recognizing science fiction’s potential to shatter patriarchal and heterosexual norms while the creators of science fiction are bringing new depth and complexity to the genre by engaging with feminist thewories and politics. This book maps the intersection of feminism and science fiction through close readings of science fiction literature by Octavia E. Butler Richard Calder and Melissa Scott and the movies The Matrix and the Alien series. Patricia Melzer analyzes how these authors and films represent debates and concepts in three areas of feminist thought: identity and difference feminist critiques of science and technology and the relationship among gender identity body and desire including the new gender politics of queer desires transgender and intersexed bodies and identities. She demonstrates that key political elements shape these debates including global capitalism and exploitative class relations within a growing international system; the impact of computer industrial and medical technologies on women’s lives and reproductive rights; and posthuman embodiment as expressed through biotechnologies the body/machine interface and the commodification of desire. Melzer’s investigation makes it clear that feminist writings and readings of science fiction are part of a feminist critique of existing power relations—and that the alien constructions (cyborgs clones androids aliens and hybrids) that populate postmodern science fiction are as potentially empowering as they are threatening.
The Invisible Man,Science Fiction,The invisible manby Herbert George WellsThe Invisible Man is a science fiction novella by H. G. Wells published in 1897. Originally serialized in Pearson's Weekly in 1897 it was published as a novel the same year. The Invisible Man of the title is Griffin a scientist who has devoted himself to research into optics and invents a way to change a body's refractive index to that of air so that it absorbs and reflects no light and thus becomes invisible. He successfully carries out this procedure on himself.We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature and our view is that this is a significant literary work which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work and that for you it becomes an enriching experience.
The Machine Stops,Science Fiction,"The Machine Stops is a short science fiction story. It describes a world in which almost all humans have lost the ability to live on the surface of the Earth. Each individual lives in isolation in a 'cell' with all bodily and spiritual needs met by the omnipotent global Machine. Most humans welcome this development as they are skeptical and fearful of first-hand experience. People forget that humans created the Machine and treat it as a mystical entity whose needs supersede their own. Those who do not accept the deity of the Machine are viewed as 'unmechanical' and are threatened with ""Homelessness"". Eventually the Machine apocalyptically collapses and the civilization of the Machine comes to an end."
Armada,Science Fiction,From the author of Ready Player One a rollicking alien invasion thriller that embraces and subverts science-fiction conventions as only Ernest Cline could. Zack Lightman has never much cared for reality. He vastly prefers the countless science-fiction movies books and videogames he's spent his life consuming. And too often he catches himself wishing that some fantastic impossible world-altering event could arrive to whisk him off on a grand spacefaring adventure. So when he sees the flying saucer he's sure his years of escapism have finally tipped over into madness. Especially because the alien ship he's staring at is straight out of his favorite videogame a flight simulator callled Armada--in which gamers just happen to be protecting Earth from alien invaders. As impossible as it seems what Zack's seeing is all too real. And it's just the first in a blur of revlations that will force him to question everything he thought he knew about Earth's history its future even his own life--and to play the hero for real with humanity's life in the balance. But even through the terror and exhilaration he can't help thinking: Doesn't something about this scenario feel a little bit like...well...fiction? At once reinventing and paying homage to science-fiction classics as only Ernest Cline can Armada is a rollicking surprising thriller a coming-of-age adventure and an alien invasion tale like nothing you've ever read before.
